"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","upec-98_11162019","upec-99_11172019"
"allD","","ureidoglycolate dehydrogenase","2","2","1","87","21","","","","1049","1049","1049","upec-98_03866","upec-99_00778"
"ydhY","","putative 4Fe-4S ferredoxin-type protein","2","2","1","88","184","","","","626","626","626","upec-98_00698","upec-99_02834"
"gspD_1","","putative protein secretion protein for export","2","2","1","81","55","","","","1952","1952","1952","upec-98_00113","upec-99_02713"
"emrD","","multidrug efflux transporter EmrD","2","2","1","91","837","","","","1184","1184","1184","upec-98_02490","upec-99_02498"
"bdm","","biofilm-dependent modulation protein","2","2","1","80","31","","","","215","215","215","upec-98_01108","upec-99_00231"
"group_5795","","hypothetical protein","2","2","1","89","700","","","","629","629","629","upec-98_04240","upec-99_03551"
"ratB","","putative protein","2","2","1","90","89","","","","290","290","290","upec-98_03392","upec-99_01138"
"ybbW","","YbbW NCS1 Transporter","2","2","1","87","27","","","","1454","1454","1454","upec-98_03872","upec-99_00772"
"soxR","","SoxR DNA-binding transcriptional dual regulator","2","2","1","91","195","","","","464","464","464","upec-98_04116","upec-99_03904"
"uidB","","glucuronide:H  symporter","2","2","1","88","127","","","","1373","1373","1373","upec-98_00756","upec-99_00378"
"hrpA","","ATP-dependent helicase","2","2","1","91","1787","","","","2501","3902","3201","upec-98_02169","upec-99_02271"
"yfiE","","putative DNA-binding transcriptional regulator LYSR-type","2","2","1","90","552","","","","881","881","881","upec-98_03724","upec-99_01974"
"allE","","S-ureidoglycine aminohydrolase","2","2","1","87","23","","","","785","785","785","upec-98_03868","upec-99_00776"
"eco","","ecotin monomer; serine protease inhibitor","2","2","1","90","980","","","","488","488","488","upec-98_01313","upec-99_02987"
"yhjG","","putative outer membrane biogenesis protein","2","2","1","91","641","","","","2060","2060","2060","upec-98_02315","upec-99_00400"
"mtfA","","Mlc titration factor","2","2","1","83","97","","","","797","797","797","upec-98_01669","upec-99_01010"
"nrdH","","glutaredoxin-like protein","2","2","1","90","173","","","","245","245","245","upec-98_03311","upec-99_04784"
"gabP","","4-aminobutyrate:H  symporter","2","2","1","90","162","","","","1400","1400","1400","upec-98_03323","upec-99_04794"
"leuD","","isopropylmalate isomerase","2","2","1","91","1348","","","","605","605","605","upec-98_02967","upec-99_04470"
"lpxP","","palmitoleoyl acyltransferase","2","2","1","90","735","","","","920","920","920","upec-98_03552","upec-99_00627"
"ydcW","","gamma-aminobutyraldehyde dehydrogenase","2","2","1","91","1817","","","","1424","1424","1424","upec-98_02194","upec-99_02516"
"rimL","","ribosomal-protein-L12-serine acetyltransferase","2","2","1","91","1799","","","","539","539","539","upec-98_02180","upec-99_02256"
"eamB","","O-Acetylserine/Cysteine Efflux Permease","2","2","1","90","551","","","","587","587","587","upec-98_03725","upec-99_01973"
"nfo","","endonuclease IV","2","2","1","90","1033","","","","857","857","857","upec-98_01363","upec-99_02936"
"secM","","secretion monitor that regulates SecA translation (General Secretory Pathway)","2","2","1","91","1324","","","","587","587","587","upec-98_02991","upec-99_04494"
"kdpB","","K  transporting ATPase - ATP binding subunit","2","2","1","89","609","","","","2048","2048","2048","upec-98_04326","upec-99_04068"
"rffG","","dTDP-glucose 4,6-dehydratase 2","2","2","1","82","33","","","","1067","1067","1067","upec-98_00324","upec-99_03637"
"cusF","","copper / silver efflux transport system - periplasmic binding protein","2","2","1","89","734","","","","332","332","332","upec-98_04209","upec-99_02153"
"yifB","","putative ATP-dependent protease","2","2","1","82","12","","","","1520","1520","1520","upec-98_00306","upec-99_03616"
"group_5816","","hypothetical protein","2","2","1","84","120","","","","191","191","191","upec-98_02641","upec-99_01765"
"yhjX","","YhjX MFS transporter","2","2","1","91","665","","","","1208","1208","1208","upec-98_02335","upec-99_00425"
"sdsQ","","SdsRQP multidrug efflux transport system - uncharacterised component","2","2","1","91","220","","","","2051","2051","2051","upec-98_04142","upec-99_03923"
"yaaA","","protein that reduces intracellular iron levels under peroxide stress","2","2","1","91","1418","","","","776","776","776","upec-98_02901","upec-99_04723"
"ivy","","inhibitor of vertebrate C-type lysozyme","2","2","1","87","180","","","","446","473","459","upec-98_03752","upec-99_02373"
"yfhM","","alpha-macroglobulin","2","2","1","90","608","","","","4958","4961","4959","upec-98_03671","upec-99_02032"
"yeaM_1","","putative DNA-binding transcriptional regulator","2","2","1","88","300","","","","818","818","818","upec-98_00585","upec-99_01255"
"group_5822","","hypothetical protein","2","2","1","88","178","","","","1604","1604","1604","upec-98_00704","upec-99_02840"
"fadM","","thioesterase III","2","2","1","87","98","","","","398","398","398","upec-98_03939","upec-99_01423"
"ydhW","","putative protein","2","2","1","88","182","","","","638","638","638","upec-98_00700","upec-99_02836"
"rsxE","","integral membrane protein of SoxR-reducing complex","2","2","1","88","143","","","","695","695","695","upec-98_00740","upec-99_02879"
"group_5826","","hypothetical protein","2","2","1","88","265","","","","1166","1166","1166","upec-98_00619","upec-99_01025"
"group_5827","","hypothetical protein","2","2","1","87","239","","","","593","593","593","upec-98_03798","upec-99_01644"
"group_5828","","hypothetical protein","2","2","1","91","958","","","","395","395","395","upec-98_01844","upec-99_04340"
"pepP","","proline aminopeptidase P II","2","2","1","90","366","","","","1325","1325","1325","upec-98_03065","upec-99_01702"
"yafL","","putative lipoprotein and C40 family peptidase","2","2","1","87","185","","","","626","758","692","upec-98_03757","upec-99_02366"
"fixB","","putative flavoprotein subunit required for anaerobic carnitine metabolism","2","2","1","91","1379","","","","941","941","941","upec-98_02936","upec-99_04441"
"rlmC","","23S rRNA m5U747 methyltransferase","2","2","1","89","454","","","","1127","1127","1127","upec-98_04472","upec-99_03283"
"glgS","","putative glycogen synthesis protein","2","2","1","91","1044","","","","200","200","200","upec-98_01929","upec-99_04249"
"group_5833","","hypothetical protein","2","2","1","91","1638","","","","155","155","155","upec-98_04871","upec-99_00478"
"ygiN","","quinol monooxygenase monomer","2","2","1","91","1071","","","","314","314","314","upec-98_01956","upec-99_04231"
"fsaA","","Fsa","2","2","1","89","488","","","","662","662","662","upec-98_04438","upec-99_03248"
"crcB_2","","F- efflux transporter / involved in resistance to camphor-induced chromosome decondensation","2","2","1","89","677","","","","383","383","383","upec-98_04262","upec-99_03574"
"gmr","","modulator of RNase II stability","2","2","1","91","1696","","","","1985","1985","1985","upec-98_02095","upec-99_01798"
"iraD","","inhibitor of sS proteolysis","2","2","1","91","1171","","","","392","392","392","upec-98_02001","upec-99_04643"
"yiiM","","protein involved in base analog detoxification","2","2","1","85","115","","","","674","674","674","upec-98_00229","upec-99_04129"
"rayT","","REP-associated tyrosine transposase","2","2","1","87","186","","","","497","497","497","upec-98_03758","upec-99_02365"
"group_5840","","hypothetical protein","2","2","1","91","1238","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","152","152","152","upec-98_02245","upec-99_04570"
"ascG","","AscG DNA-binding transcriptional repressor","2","2","1","90","211","","","","1013","1013","1013","upec-98_03269","upec-99_04746"
"yodC","","putative protein","2","2","1","83","53","","","","182","182","182","upec-98_01627","upec-99_00993"
"hyfR_1","","HyfR DNA-binding transcriptional activator","2","2","1","78","30","","","","1325","1325","1325","upec-98_00871","upec-99_00061"
"glxK","","glycerate kinase II","2","2","1","87","24","","","","1145","1145","1145","upec-98_03869","upec-99_00775"
"ydiS","","putative flavoprotein","2","2","1","88","211","","","","1289","1289","1289","upec-98_00672","upec-99_02806"
"glpR","","GlpR DNA-binding transcriptional repressor","2","2","1","86","191","","","","758","758","758","upec-98_00954","upec-99_00148"
"zntA","","zinc, cadmium and lead efflux system","2","2","1","86","79","","","","2198","2198","2198","upec-98_01012","upec-99_00192"
"hchA","","glyoxalase III, Hsp31 molecular chaperone","2","2","1","83","61","","","","851","851","851","upec-98_01635","upec-99_01001"
"atoB","","acetyl-CoA acetyltransferase","2","2","1","90","965","","","","1184","1184","1184","upec-98_01298","upec-99_03001"
"flhA_3","","flagellar biosynthesis protein FlhA","2","2","1","87","187","","","","974","1739","1356","upec-98_03759","upec-99_02364"
"hyuA","","phenylhydantoinase monomer","2","2","1","90","400","","","","1385","1385","1385","upec-98_03099","upec-99_00871"
"bglA_2","","6-phospho-beta-glucosidase A","2","2","1","90","372","","","","1433","1433","1433","upec-98_03071","upec-99_00899"
"ybhK","","putative transferase with NAD(P)-binding Rossmann-fold domain protein","2","2","1","89","532","","","","908","908","908","upec-98_04395","upec-99_03203"
"yeiM","","YeiM NUP transporter","2","2","1","90","1027","","","","1250","1250","1250","upec-98_01359","upec-99_02941"
"group_5854","","hypothetical protein","2","2","1","91","1092","","","","926","926","926","upec-98_01977","upec-99_04217"
"group_5855","","hypothetical protein","2","2","1","90","546","","","","698","698","698","upec-98_03730","upec-99_01968"
"group_5856","","hypothetical protein","2","2","1","55","6","","","","347","347","347","upec-98_01098","upec-99_02139"
"yncJ","","putative protein","2","2","1","91","1810","","","","170","170","170","upec-98_02188","upec-99_02507"
"lpxK","","tetraacyldisaccharide 4'-kinase","2","2","1","89","400","","","","986","986","986","upec-98_04532","upec-99_03339"
"yhjY","","putative lipase","2","2","1","91","666","","","","698","698","698","upec-98_02336","upec-99_00426"
"motB_2","","MotB protein, enables flagellar motor rotation, linking torque machinery to cell wall","2","2","1","87","189","","","","686","785","735","upec-98_03760","upec-99_02362"
"fadB","","dodecenoyl-CoA delta-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase","2","2","1","82","100","","","","2189","2189","2189","upec-98_00406","upec-99_03693"
"ygbL","","putative class II aldolase","2","2","1","90","240","","","","638","638","638","upec-98_03243","upec-99_02211"
"ubiH","","2-octaprenyl-6-methoxyphenol hydroxylase","2","2","1","90","367","","","","1178","1178","1178","upec-98_03066","upec-99_01701"
"ydeS","","putative fimbrial-like adhesin protein","2","2","1","88","37","","","","530","530","530","upec-98_00833","upec-99_00298"
"lamB","","maltose outer membrane porin / phage lambda receptor protein","2","2","1","91","156","","","","1337","1337","1337","upec-98_04076","upec-99_03874"
"yhhX","","putative oxidoreductase with NAD(P)-binding Rossmann-fold domain protein","2","2","1","86","215","","","","1037","1037","1037","upec-98_00979","upec-99_00163"
"hisD","","histidinal dehydrogenase / histidinol dehydrogenase","2","2","1","90","1063","","","","1304","1304","1304","upec-98_01513","upec-99_00505"
"yhbO","","protein involved in stress response","2","2","1","91","953","","","","518","518","518","upec-98_01839","upec-99_04345"
"yaeR","","putative lyase","2","2","1","91","1224","","","","389","389","389","upec-98_02231","upec-99_04583"
"yaiA","","putative protein","2","2","1","87","151","","","","191","191","191","upec-98_03992","upec-99_01901"
"yafO","","ribosome-dependent mRNA interferase, toxin of the YafO-YafN toxin-antitoxin system","2","2","1","87","192","","","","398","398","398","upec-98_03763","upec-99_02359"
"ulaF","","L-ribulose 5-phosphate 4-epimerase","2","2","1","91","339","","","","686","686","686","upec-98_02752","upec-99_00733"
"umuC_3","","SOS mutagenesis and repair","2","2","1","91","1575","","","","1268","1268","1268","upec-98_04805","upec-99_03084"
"argO","","arginine export protein","2","2","1","90","352","","","","632","635","633","upec-98_03054","upec-99_01716"
"yqjF","","putative quinol oxidase subunit","2","2","1","91","994","","","","482","482","482","upec-98_01879","upec-99_04299"
"nfrA","","bacteriophage N4 receptor, outer membrane protein","2","2","1","89","745","","","","2972","2972","2972","upec-98_04204","upec-99_02148"
"ydhR","","putative mono-oxygenase","2","2","1","88","177","","","","305","305","305","upec-98_00705","upec-99_02841"
"group_5876","","hypothetical protein","2","2","1","91","998","","","","368","368","368","upec-98_01883","upec-99_04295"
"yegE","","putative diguanylate cyclase","2","2","1","90","1117","","","","3317","3317","3317","upec-98_01466","upec-99_01245"
"group_5878","","hypothetical protein","2","2","1","91","316","","","","197","197","197","upec-98_02730","upec-99_04025"
"lysR","","LysR DNA-binding transcriptional dual regulator","2","2","1","90","432","","","","935","935","935","upec-98_03115","upec-99_00822"
"rtcB_2","","hypothetical protein","2","2","1","87","195","","","","266","1139","702","upec-98_03765","upec-99_02357"
"ltaE","","low-specificity L-threonine aldolase","2","2","1","89","441","","","","1001","1001","1001","upec-98_04483","upec-99_03295"
"rffT","","4-acetamido-4,6-dideoxy-D-galactose transferase","2","2","1","82","38","","","","1079","1079","1079","upec-98_00329","upec-99_03642"
"pdxA","","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent","2","2","1","91","1367","","","","989","989","989","upec-98_02948","upec-99_04451"
"gmhB","","D,D-heptose 1,7-bisphosphate phosphatase","2","2","1","91","1209","","","","572","575","573","upec-98_02218","upec-99_04598"
"xerD_4","","site-specific recombinase","2","2","1","84","88","","","","740","740","740","upec-98_02669","upec-99_02332"
"slyB","","outer membrane lipoprotein","2","2","1","88","152","","","","467","467","467","upec-98_00731","upec-99_02869"
"ribD","","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","2","2","1","87","127","","","","1103","1103","1103","upec-98_03968","upec-99_01452"
"nadE","","NAD synthetase, NH3-dependent","2","2","1","88","251","","","","827","827","827","upec-98_00633","upec-99_02765"
"yjjG","","pyrimidine nucleotidase","2","2","1","91","1453","","","","677","677","677","upec-98_02867","upec-99_04687"
"betA","","choline dehydrogenase","2","2","1","87","251","","","","1670","1688","1679","upec-98_03811","upec-99_01637"
"prfA_1","","peptide chain release factor RF1","2","2","1","87","196","","","","500","614","557","upec-98_03766","upec-99_02356"
"ybfF","","esterase","2","2","1","89","622","","","","764","764","764","upec-98_04318","upec-99_04055"
"group_5891","","hypothetical protein","2","2","1","90","239","","","","1262","1262","1262","upec-98_03244","upec-99_02212"
"nudK","","GDP-mannose hydrolase","2","2","1","90","661","","","","575","575","575","upec-98_03624","upec-99_02091"
"nanM","","N-acetylneuraminate mutarotase","2","2","1","91","1151","","","","1106","1106","1106","upec-98_02020","upec-99_04625"
"yfgD","","putative oxidoreductase","2","2","1","90","637","","","","359","359","359","upec-98_03642","upec-99_02061"
"group_5895","","hypothetical protein","2","2","1","91","1789","","","","800","800","800","upec-98_02170","upec-99_02269"
"sixA","","phosphohistidine phosphatase","2","2","1","90","836","","","","485","485","485","upec-98_03467","upec-99_00664"
"sgbH","","3-keto-L-gulonate 6-phosphate decarboxylase","2","2","1","91","703","","","","662","662","662","upec-98_02370","upec-99_01951"
"yieF","","chromate reductase monomer","2","2","1","91","875","","","","566","566","566","upec-98_02525","upec-99_02458"
"hyi","","hydroxypyruvate isomerase","2","2","1","87","29","","","","776","776","776","upec-98_03874","upec-99_00770"
"ecpE","","hypothetical protein","2","2","1","87","218","","","","710","710","710","upec-98_03780","upec-99_01656"
"ydeO","","YdeO DNA-binding transcriptional dual regulator","2","2","1","88","32","","","","761","761","761","upec-98_00838","upec-99_00293"
"rluF","","23S rRNA pseudouridine 2604 synthase","2","2","1","91","139","","","","872","872","872","upec-98_04062","upec-99_02290"
"yqcE","","YqcE MFS transporter","2","2","1","90","532","","","","1277","1277","1277","upec-98_03212","upec-99_00965"
"group_5903","","hypothetical protein","2","2","1","91","1627","","","","458","458","458","upec-98_04862","upec-99_00489"
"yddA","","YddA complex","2","2","1","88","29","","","","1658","1685","1671","upec-98_00841","upec-99_00290"
"group_5905","","hypothetical protein","2","2","1","84","153","","","","2627","2630","2628","upec-98_02613","upec-99_01115"
"fadA","","3-ketoacyl-CoA thiolase","2","2","1","82","101","","","","1163","1163","1163","upec-98_00405","upec-99_03692"
"aslA","","arylsulfatase","2","2","1","82","43","","","","1655","1655","1655","upec-98_00338","upec-99_03651"
"holB","","DNA polymerase III, delta prime subunit","2","2","1","89","232","","","","1004","1004","1004","upec-98_04695","upec-99_03745"
"agaR","","AgaR DNA-binding transcriptional repressor","2","2","1","91","973","","","","809","824","816","upec-98_01859","upec-99_04325"
"ecpR","","MatA DNA-binding transcriptional dual regulator","2","2","1","87","223","","","","542","542","542","upec-98_03785","upec-99_01651"
"visC","","putative oxidoreductase, FAD/NAD(P)-binding domain","2","2","1","90","368","","","","1202","1202","1202","upec-98_03067","upec-99_01700"
"yebY_2","","putative protein","2","2","1","88","343","","","","341","341","341","upec-98_00542","upec-99_01304"
"asr","","acid shock protein","2","2","1","88","106","","","","308","308","308","upec-98_00775","upec-99_00357"
"yhdH","","putative oxidoreductase, NAD(P)-binding","2","2","1","91","536","","","","974","974","974","upec-98_01748","upec-99_02418"
"yebZ","","putative resistance protein","2","2","1","88","344","","","","872","872","872","upec-98_00541","upec-99_01305"
"yfiR","","putative periplasmic protein involved in swarming motility","2","2","1","90","74","","","","518","518","518","upec-98_03406","upec-99_01190"
"group_5916","","hypothetical protein","2","2","1","90","628","","","","152","152","152","upec-98_03651","upec-99_02052"
"spy","","ATP independent periplasmic chaperone","2","2","1","88","254","","","","485","485","485","upec-98_00630","upec-99_01014"
"xdhC","","xanthine dehydrogenase, Fe-S subunit","2","2","1","90","405","","","","479","479","479","upec-98_03104","upec-99_00866"
"group_5919","","hypothetical protein","2","2","1","88","176","","","","1256","1256","1256","upec-98_00708","upec-99_02844"
"ykgR","","small membrane protein","2","2","1","87","230","","","","101","101","101","upec-98_03788","upec-99_01648"
"group_5920","","hypothetical protein","2","2","1","91","1689","","","","308","308","308","upec-98_02088","upec-99_01791"
"yibQ","","putative nucleoside (IDP) diphosphatase","2","2","1","91","733","","","","959","959","959","upec-98_02400","upec-99_01567"
"group_5922","","hypothetical protein","2","2","1","85","105","","","","599","599","599","upec-98_00220","upec-99_04139"
"ydcS","","YdcS/YdcT/YdcV/YdcU ABC transporter","2","2","1","91","1813","","","","1145","1145","1145","upec-98_02190","upec-99_02512"
"hcr","","NADH oxidoreductase","2","2","1","89","439","","","","968","968","968","upec-98_04485","upec-99_03297"
"ygcW","","putative deoxygluconate dehydrogenase","2","2","1","90","533","","","","785","785","785","upec-98_03213","upec-99_00966"
"group_5928","","hypothetical protein","2","2","1","91","568","","","","464","464","464","upec-98_01778","upec-99_02387"
"dosP","","c-di-GMP phosphodiesterase, heme-regulated","2","2","1","80","39","","","","2399","2399","2399","upec-98_01106","upec-99_00441"
"ykgG","","putative transporter","2","2","1","87","244","","","","695","695","695","upec-98_03803","upec-99_01639"
"polB","","DNA polymerase II","2","2","1","91","1361","","","","2351","2351","2351","upec-98_02954","upec-99_04458"
"dctR","","putative DNA-binding transcriptional regulator","2","2","1","86","36","","","","530","530","530","upec-98_01050","upec-99_02751"
"yjjX","","ITPase/XTPase","2","2","1","91","1431","","","","512","521","516","upec-98_02888","upec-99_04709"
"panC","","pantothenate synthetase monomer","2","2","1","91","1287","","","","851","851","851","upec-98_02285","upec-99_04529"
"yfeR","","putative DNA-binding transcriptional regulator, LYSR-type","2","2","1","90","711","","","","926","926","926","upec-98_03577","upec-99_03126"
"group_5935","","hypothetical protein","2","2","1","89","434","","","","992","992","992","upec-98_04490","upec-99_03302"
"group_5936","","hypothetical protein","2","2","1","91","1462","","","","473","473","473","upec-98_02856","upec-99_04677"
"ybaM","","small protein involved in the cell envelope stress response","2","2","1","87","76","","","","161","161","161","upec-98_03917","upec-99_01401"
"dinF","","DinF MATE Transporter","2","2","1","91","167","","","","1325","1325","1325","upec-98_04083","upec-99_03884"
"dedD","","cell division protein DedD","2","2","1","90","865","","","","650","662","656","upec-98_03442","upec-99_00689"
"ykgH","","putative inner membrane protein","2","2","1","87","250","","","","668","668","668","upec-98_03804","upec-99_01638"
"ldcA","","L,D-carboxypeptidase A","2","2","1","91","1584","","","","914","914","914","upec-98_04814","upec-99_03075"
"ygbA","","putative protein","2","2","1","90","232","","","","344","344","344","upec-98_03249","upec-99_02218"
"ycjP","","YcjN/YcjO/YcjP ABC transporter","2","2","1","91","1728","","","","842","842","842","upec-98_02119","upec-99_01826"
"emrK_2","","EmrKY-TolC multidrug efflux transport system - membrane fusion protein","2","2","1","90","745","","","","1163","1163","1163","upec-98_03542","upec-99_00637"
"ygjP","","putative metal-dependent hydrolase","2","2","1","91","1010","","","","503","503","503","upec-98_01895","upec-99_04283"
"amiD","","anhydro-N-acetylmuramoyl-L-alanine amidase","2","2","1","89","445","","","","830","830","830","upec-98_04480","upec-99_03291"
"hofB","","protein involved in plasmid replication","2","2","1","91","1315","","","","1385","1385","1385","upec-98_02999","upec-99_04503"
"ygfM","","putative oxidoreductase","2","2","1","90","393","","","","779","779","779","upec-98_03092","upec-99_00878"
"group_5948","","hypothetical protein","2","2","1","90","373","","","","311","311","311","upec-98_03072","upec-99_00898"
"yggL","","putative protein","2","2","1","90","311","","","","326","326","326","upec-98_03014","upec-99_01749"
"yahC","","putative inner membrane protein","2","2","1","87","258","","","","497","497","497","upec-98_03817","upec-99_03834"
"group_5950","","hypothetical protein","2","2","1","88","302","","","","347","347","347","upec-98_00583","upec-99_01257"
"malY_1","","bifunctional beta-cystathionase, PLP-dependent and regulator of maltose regulon","2","2","1","88","133","","","","1172","1172","1172","upec-98_00750","upec-99_00384"
"ypfH","","esterase","2","2","1","90","654","","","","698","698","698","upec-98_03631","upec-99_02084"
"pspF","","PspF transcriptional dual regulator","2","2","1","91","1717","","","","977","977","977","upec-98_02110","upec-99_01816"
"ybaS","","glutaminase","2","2","1","87","55","","","","932","932","932","upec-98_03895","upec-99_01381"
"yhbX","","putative hydrolase, inner membrane","2","2","1","91","934","","","","1517","1517","1517","upec-98_01819","upec-99_04365"
"fucK_2","","L-fuculokinase","2","2","1","90","497","","","","1418","1418","1418","upec-98_03180","upec-99_00932"
"ygiF","","putative adenylate cyclase","2","2","1","91","1038","","","","1301","1301","1301","upec-98_01924","upec-99_04254"
"yfiL","","putative lipoprotein","2","2","1","90","73","","","","362","362","362","upec-98_03407","upec-99_01191"
"lexA_1","","LexA repressor","2","2","1","89","195","","","","338","338","338","upec-98_01535","upec-99_03778"
"yahE_2","","putative protein","2","2","1","87","260","","","","863","863","863","upec-98_03819","upec-99_03836"
"cybB","","cytochrome b561","2","2","1","91","1792","","","","530","530","530","upec-98_02173","upec-99_02264"
"creD","","putative inner membrane protein","2","2","1","91","1425","","","","1352","1352","1352","upec-98_02894","upec-99_04715"
"group_5962","","hypothetical protein","2","2","1","82","45","","","","1181","1205","1193","upec-98_00340","upec-99_03653"
"yihX","","alpha-D-glucose-1-phosphatase","2","2","1","85","41","","","","599","599","599","upec-98_00257","upec-99_04101"
"cheR","","chemotaxis protein methyltransferase","2","2","1","88","399","","","","860","860","860","upec-98_00496","upec-99_01353"
"gntX","","protein involved in utilization of DNA as a carbon source","2","2","1","86","182","","","","683","683","683","upec-98_00945","upec-99_00139"
"yciH","","translation initiation factor","2","2","1","91","1692","","","","326","326","326","upec-98_02091","upec-99_01794"
"yhaL","","putative protein","2","2","1","91","989","","","","164","164","164","upec-98_01874","upec-99_04305"
"group_5968","","hypothetical protein","2","2","1","89","176","","","","182","182","182","upec-98_04904","upec-99_03783"
"pabB","","para-aminobenzoate synthase multi-enzyme complex","2","2","1","88","317","","","","1361","1361","1361","upec-98_00568","upec-99_01277"
"yahF_2","","putative acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain protein","2","2","1","87","261","","","","1547","1547","1547","upec-98_03820","upec-99_03837"
"group_5970","","hypothetical protein","2","2","1","90","876","","","","893","893","893","upec-98_01222","upec-99_00699"
"pliG","","inhibitor of g-type lysozyme","2","2","1","91","1570","","","","401","401","401","upec-98_04800","upec-99_03090"
"ybcF_2","","putative carbamate kinase","2","2","1","87","17","","","","893","893","893","upec-98_03862","upec-99_00782"
"yjgR","","putative ATPase","2","2","1","91","416","","","","1502","1502","1502","upec-98_02818","upec-99_02567"
"group_5974","","hypothetical protein","2","2","1","56","4","","","","1109","1109","1109","upec-98_00451","upec-99_00205"
"kbl","","2-amino-3-ketobutyrate CoA ligase","2","2","1","91","736","","","","1196","1196","1196","upec-98_02403","upec-99_01564"
"hemA","","glutamyl-tRNA reductase","2","2","1","91","1604","","","","1256","1256","1256","upec-98_04837","upec-99_03056"
"aroA","","3-phosphoshikimate-1-carboxyvinyltransferase","2","2","1","89","407","","","","1283","1283","1283","upec-98_04525","upec-99_03332"
"sulA","","SOS cell division inhibitor","2","2","1","89","364","","","","509","509","509","upec-98_04568","upec-99_03382"
"dmsC","","dimethyl sulfoxide reductase, chain C","2","2","1","89","416","","","","863","863","863","upec-98_04516","upec-99_03320"
"yahJ","","putative deaminase with metallo-dependent hydrolase domain protein","2","2","1","87","264","","","","1382","1382","1382","upec-98_03823","upec-99_03840"
"purD","","phosphoribosylamine-glycine ligase","2","2","1","78","29","","","","1289","1289","1289","upec-98_00872","upec-99_00062"
"group_5981","znuA_2","Zn2  ABC transporter - periplasmic binding protein","2","2","1","88","426","","","","986","986","986","upec-98_00522","upec-99_01326"
"thiF","","sulfur carrier protein ThiS adenylyltransferase","2","2","1","78","14","","","","755","755","755","upec-98_00858","upec-99_00049"
"yhiN","","putative oxidoreductase with FAD/NAD(P)-binding domain protein","2","2","1","86","52","","","","1193","1202","1197","upec-98_01037","upec-99_02736"
"caiE","","putative acyl transferase","2","2","1","91","1386","","","","590","590","590","upec-98_02929","upec-99_04434"
"tauA","","taurine ABC transporter - periplasmic binding protein","2","2","1","87","302","","","","962","962","962","upec-98_04013","upec-99_00035"
"ubiF","","2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase","2","2","1","89","643","","","","1175","1175","1175","upec-98_04291","upec-99_03611"
"group_5987","","hypothetical protein","2","2","1","72","10","","","","905","905","905","upec-98_01552","upec-99_02379"
"bioC","","malonyl-CoA methyltransferase","2","2","1","89","535","","","","755","755","755","upec-98_04392","upec-99_03200"
"rluE","","23S rRNA pseudouridine 2457 synthase","2","2","1","89","79","","","","653","653","653","upec-98_04731","upec-99_01077"
"yahK","","putative oxidoreductase, Zn-dependent and NAD(P)-binding","2","2","1","87","265","","","","1049","1049","1049","upec-98_03829","upec-99_03841"
"yggW","","putative oxidoreductase","2","2","1","90","315","","","","1136","1136","1136","upec-98_03018","upec-99_01745"
"tatD","","Tat-linked protein quality control","2","2","1","82","105","","","","782","782","782","upec-98_00401","upec-99_03688"
"yjfC","","putative synthetase/amidase","2","2","1","91","327","","","","1163","1163","1163","upec-98_02740","upec-99_00721"
"pbpC","","peptidoglycan glycosyltransferase","2","2","1","90","609","","","","2276","2312","2294","upec-98_03670","upec-99_02033"
"group_5994","","hypothetical protein","2","2","1","90","276","","","","173","173","173","upec-98_03739","upec-99_00972"
"tsx","","nucleoside channel; receptor of phage T6 and colicin K","2","2","1","87","130","","","","884","884","884","upec-98_03971","upec-99_01455"
"csgA","","curlin, major subunit","2","2","1","89","287","","","","455","455","455","upec-98_04640","upec-99_00245"
"ygdG","","YgdG","2","2","1","90","507","","","","845","845","845","upec-98_03185","upec-99_00941"
"yhjC","","putative DNA-binding transcriptional regulator","2","2","1","91","638","","","","971","971","971","upec-98_02312","upec-99_00397"
"yecM","","putative metal-binding enzyme","2","2","1","88","408","","","","566","566","566","upec-98_00504","upec-99_01344"
"dcp_1","","dipeptidyl carboxypeptidase II","2","2","1","88","83","","","","1019","2045","1532","upec-98_00798","upec-99_00332"
"ydcR_1","","fused predicted DNA-binding transcriptional regulator and predicted amino transferase","2","2","1","91","1811","","","","1034","1406","1220","upec-98_02189","upec-99_02510"
"prpE","","propionyl-CoA synthetase","2","2","1","87","272","","","","1283","1886","1584","upec-98_03838","upec-99_03850"
"yjtD","","putative rRNA methyltransferase","2","2","1","91","1423","","","","686","686","686","upec-98_02896","upec-99_04717"
"phoE_2","","outer membrane porin E","2","2","1","87","201","","","","1055","1055","1055","upec-98_03771","upec-99_02351"
