"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","A_11102019","K_11082019"
"nrdF","","Ribonucleoside-diphosphate reductase 2 subunit beta","2","2","1","134","28","","","","959","959","959","A_01494","K_01860"
"trg","","Methyl-accepting chemotaxis protein III","2","2","1","135","196","","","","1640","1640","1640","A_02223","K_03845"
"ygjV","","Inner membrane protein YgjV","2","2","1","133","194","","","","551","551","551","A_00920","K_04413"
"yjgH","","RutC family protein YjgH","2","2","1","134","724","","","","395","395","395","A_02723","K_02416"
"nrdE","","Ribonucleoside-diphosphate reductase 2 subunit alpha","2","2","1","134","27","","","","2144","2144","2144","A_01495","K_01859"
"dkgB_2","","2,5-diketo-D-gluconic acid reductase B","2","2","1","99","5","","","","803","803","803","A_03850","K_04106"
"tatD","","Tat-linked quality control protein TatD","2","2","1","124","11","","","","782","782","782","A_02023","K_01041"
"thiH","","2-iminoacetate synthase","2","2","1","111","11","","","","1133","1133","1133","A_01862","K_01629"
"group_5848","","hypothetical protein","2","2","1","129","120","","","","356","356","356","A_03257","K_02184"
"iraD","","Anti-adapter protein IraD","2","2","1","132","37","","","","392","392","392","A_01309","K_03408"
"lacA","","Galactoside O-acetyltransferase","2","2","1","130","67","","","","611","611","611","A_04284","K_00791"
"rutB_1","","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB","2","2","1","129","197","","","","641","641","641","A_03176","K_02262"
"arnB","","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase","2","2","1","135","1003","","","","1157","1157","1157","A_02817","K_00471"
"csgC","","Curli assembly protein CsgC","2","2","1","135","415","","","","332","332","332","A_02306","K_03259"
"gloB","","Hydroxyacylglutathione hydrolase","2","2","1","99","11","","","","755","755","755","A_03845","K_04101"
"lsrA","","Autoinducer 2 import ATP-binding protein LsrA","2","2","1","122","45","","","","1535","1535","1535","A_02547","K_02313"
"menF","","Isochorismate synthase MenF","2","2","1","135","1016","","","","1295","1295","1295","A_02804","K_00458"
"puuE","","4-aminobutyrate aminotransferase PuuE","2","2","1","135","269","","","","1265","1265","1265","A_01837","K_03786"
"nadE","","NH(3)-dependent NAD( ) synthetase","2","2","1","129","173","","","","827","827","827","A_03204","K_02235"
"hyfB_2","","Hydrogenase-4 component B","2","2","1","127","118","","","","1580","1580","1580","A_00714","K_01518"
"group_5859","","Electron transfer flavoprotein-ubiquinone oxidoreductase","2","2","1","129","131","","","","1289","1289","1289","A_03246","K_02195"
"lacZ","","Beta-galactosidase","2","2","1","130","69","","","","3074","3074","3074","A_04286","K_00793"
"ais","","Lipopolysaccharide core heptose(II)-phosphate phosphatase","2","2","1","135","1002","","","","602","602","602","A_02818","K_00472"
"nnr","","Bifunctional NAD(P)H-hydrate repair enzyme Nnr","2","2","1","134","219","","","","1532","1532","1532","A_02638","K_02982"
"ves","","Protein Ves","2","2","1","129","175","","","","575","575","575","A_03202","K_02237"
"yfdE","","Acetyl-CoA:oxalate CoA-transferase","2","2","1","135","1110","","","","1145","1145","1145","A_01757","K_00368"
"fadA","","3-ketoacyl-CoA thiolase","2","2","1","124","7","","","","1163","1163","1163","A_02027","K_01037"
"rluE","","Ribosomal large subunit pseudouridine synthase E","2","2","1","135","147","","","","653","653","653","A_00631","K_02003"
"mzrA_1","","Modulator protein MzrA","2","2","1","133","188","","","","377","383","380","A_00914","K_04419"
"group_5867","appA_1","Oligopeptide-binding protein AppA","2","2","1","135","922","","","","1814","1814","1814","A_02891","K_04289"
"hisF","","Imidazole glycerol phosphate synthase subunit HisF","2","2","1","131","303","","","","776","776","776","A_04610","K_00252"
"fadH","","2,4-dienoyl-CoA reductase [NADPH]","2","2","1","133","204","","","","2018","2018","2018","A_00929","K_04403"
"mhpD","","2-keto-4-pentenoate hydratase","2","2","1","130","75","","","","809","809","809","A_04292","K_00799"
"bioC","","Malonyl-[acyl-carrier protein] O-methyltransferase","2","2","1","135","661","","","","755","755","755","A_00405","K_04833"
"group_5871","","hypothetical protein","2","2","1","134","203","","","","659","659","659","A_02660","K_02998"
"group_5872","","hypothetical protein","2","2","1","95","6","","","","164","164","164","A_01781","K_04369"
"pcoC","","Copper resistance protein C","2","2","1","131","110","","","","374","374","374","A_00347","K_00129"
"group_5874","lon_1","Lon protease","2","2","1","135","484","","","","1760","1760","1760","A_02991","K_03187"
"group_5875","","hypothetical protein","2","2","1","130","79","","","","539","539","539","A_04296","K_00803"
"ybdH","","putative oxidoreductase YbdH","2","2","1","135","27","","","","1088","1088","1088","A_00548","K_04605"
"pagP","","Lipid A palmitoyltransferase PagP","2","2","1","135","1245","","","","560","560","560","A_03124","K_04627"
"mscS","","Small-conductance mechanosensitive channel","2","2","1","134","809","","","","860","875","867","A_03401","K_03482"
"ymdB","","O-acetyl-ADP-ribose deacetylase","2","2","1","135","413","","","","533","533","533","A_02308","K_03261"
"frmB","","S-formylglutathione hydrolase FrmB","2","2","1","130","80","","","","833","833","833","A_04297","K_00804"
"group_5880","","hypothetical protein","2","2","1","116","28","","","","998","998","998","A_02606","K_00009"
"smrA","","putative DNA endonuclease SmrA","2","2","1","135","232","","","","563","563","563","A_01799","K_03812"
"murQ","","N-acetylmuramic acid 6-phosphate etherase","2","2","1","116","21","","","","896","896","896","A_02625","K_00027"
"ugpC_2","","sn-glycerol-3-phosphate import ATP-binding protein UgpC","2","2","1","128","116","","","","1070","1070","1070","A_00675","K_00586"
"cutC","","Copper homeostasis protein CutC","2","2","1","131","148","","","","746","746","746","A_01628","K_00165"
"pgpB","","Phosphatidylglycerophosphatase B","2","2","1","135","294","","","","764","764","764","A_00522","K_03761"
"ecpC","","putative outer membrane usher protein EcpC","2","2","1","130","10","","","","2525","2525","2525","A_01557","K_02533"
"group_5887","","hypothetical protein","2","2","1","115","27","","","","1259","1259","1259","A_01259","K_02873"
"psuG","","Pseudouridine-5'-phosphate glycosidase","2","2","1","135","909","","","","938","938","938","A_02904","K_04276"
"group_5889","","hypothetical protein","2","2","1","121","18","","","","1124","1124","1124","A_02053","K_01727"
"tauB","","Taurine import ATP-binding protein TauB","2","2","1","130","87","","","","767","767","767","A_04304","K_00811"
"group_5890","","hypothetical protein","2","2","1","128","166","","","","167","167","167","A_04191","K_00501"
"epsF","","Type II secretion system protein F","2","2","1","132","231","","","","1202","1202","1202","A_03889","K_01249"
"glmU_1","","Bifunctional protein GlmU","2","2","1","135","190","","","","980","980","980","A_02217","K_03851"
"ydcP_2","","putative protease YdcP","2","2","1","135","183","","","","2003","2003","2003","A_01175","K_03857"
"casC","","CRISPR system Cascade subunit CasC","2","2","1","134","111","","","","1055","1055","1055","A_01412","K_03662"
"rfaQ","","Lipopolysaccharide core heptosyltransferase RfaQ","2","2","1","134","462","","","","1058","1058","1058","A_04033","K_03055"
"group_5896","","hypothetical protein","2","2","1","131","136","","","","602","602","602","A_01616","K_00153"
"lip-1","","Lipase 1","2","2","1","134","369","","","","698","698","698","A_03520","K_03141"
"tsaC","","Threonylcarbamoyl-AMP synthase","2","2","1","121","15","","","","572","572","572","A_02050","K_01724"
"prfC","","Peptide chain release factor 3","2","2","1","132","98","","","","1589","1616","1602","A_04434","K_02604"
"group_59","","hypothetical protein","2","2","1","115","26","","","","1355","1667","1511","A_01258","K_02874"
"group_590","","hypothetical protein","2","2","1","130","108","","","","677","677","677","A_04325","K_00832"
"nikD","","Nickel import ATP-binding protein NikD","2","2","1","128","67","","","","764","764","764","A_00645","K_00635"
"yhdY","","Inner membrane amino-acid ABC transporter permease protein YhdY","2","2","1","133","18","","","","1103","1103","1103","A_03700","K_04581"
"group_5902","chuR_2","Anaerobic sulfatase-maturating enzyme","2","2","1","134","592","","","","497","497","497","A_03987","K_00734"
"group_5903","","hypothetical protein","2","2","1","125","103","","","","458","458","458","A_04099","K_00704"
"yfbT","","Sugar phosphatase YfbT","2","2","1","135","1044","","","","650","650","650","A_01695","K_00433"
"group_5907","","hypothetical protein","2","2","1","135","708","","","","380","380","380","A_03029","K_04747"
"group_5908","","hypothetical protein","2","2","1","134","742","","","","1502","1502","1502","A_02738","K_02400"
"vsr","","Very short patch repair protein","2","2","1","131","233","","","","470","470","470","A_03764","K_00321"
"mak","","Fructokinase","2","2","1","130","112","","","","806","908","857","A_04328","K_00836"
"loiP_1","","Metalloprotease LoiP","2","2","1","135","527","","","","764","764","764","A_02945","K_04972"
"sbcC","","Nuclease SbcCD subunit C","2","2","1","130","114","","","","3143","3143","3143","A_04330","K_00838"
"yajI","","putative lipoprotein YajI","2","2","1","130","129","","","","539","539","539","A_04345","K_00854"
"ribD","","Riboflavin biosynthesis protein RibD","2","2","1","130","131","","","","1103","1103","1103","A_04347","K_00856"
"comEA","","ComE operon protein 1","2","2","1","130","214","","","","371","371","371","A_04375","K_00885"
"group_596","sgrR_2","HTH-type transcriptional regulator SgrR","2","2","1","130","211","","","","1700","1772","1736","A_04378","K_00888"
"group_597","","hypothetical protein","2","2","1","130","201","","","","332","353","342","A_04388","K_00898"
"ylaB","","Putative cyclic-di-GMP phosphodiesterase YlaB","2","2","1","130","200","","","","1121","1550","1335","A_04389","K_00899"
"creC","","Sensor protein CreC","2","2","1","132","125","","","","1424","1424","1424","A_04408","K_01144"
"patB_1","","Cystathionine beta-lyase PatB","2","2","1","105","11","","","","785","1223","1004","A_01286","K_00053"
"trpR","","Trp operon repressor","2","2","1","132","119","","","","296","296","296","A_04414","K_01138"
"group_601","pflA_1","Pyruvate formate-lyase 1-activating enzyme","2","2","1","132","103","","","","704","704","704","A_04429","K_01119"
"yjjV","","putative deoxyribonuclease YjjV","2","2","1","132","102","","","","779","782","780","A_04430","K_02600"
"group_603","","hypothetical protein","2","2","1","132","93","","","","236","236","236","A_04442","K_02612"
"fhuF","","Ferric iron reductase protein FhuF","2","2","1","132","92","","","","788","788","788","A_04443","K_02613"
"group_605","","hypothetical protein","2","2","1","134","290","","","","95","95","95","A_04469","K_03976"
"yjcC","","Putative cyclic-di-GMP phosphodiesterase YjcC","2","2","1","134","318","","","","1583","1586","1584","A_04500","K_03949"
"group_607","","hypothetical protein","2","2","1","134","331","","","","956","956","956","A_04512","K_03937"
"ccmH_2","","Cytochrome c-type biogenesis protein CcmH","2","2","1","134","333","","","","383","383","383","A_04514","K_03935"
"nrfG","","Formate-dependent nitrite reductase complex subunit NrfG","2","2","1","134","334","","","","596","596","596","A_04515","K_03934"
"mdtO","","Multidrug resistance protein MdtO","2","2","1","134","340","","","","2051","2051","2051","A_04521","K_03928"
"group_611","","hypothetical protein","2","2","1","134","342","","","","275","275","275","A_04523","K_03926"
"phnP","","Phosphoribosyl 1,2-cyclic phosphodiesterase","2","2","1","134","621","","","","758","758","758","A_04533","K_02906"
"phnN","","Ribose 1,5-bisphosphate phosphokinase PhnN","2","2","1","134","623","","","","557","557","557","A_04535","K_02908"
"phnM","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase","2","2","1","134","624","","","","1136","1136","1136","A_04536","K_02909"
"phnL","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL","2","2","1","134","625","","","","680","680","680","A_04537","K_02910"
"phnH","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH","2","2","1","134","629","","","","584","584","584","A_04541","K_02914"
"mobB","","Molybdopterin-guanine dinucleotide biosynthesis adapter protein","2","2","1","126","109","","","","527","527","527","A_04550","K_02731"
"mobA","","Molybdenum cofactor guanylyltransferase","2","2","1","126","110","","","","584","584","584","A_04551","K_02732"
"srkA","","Stress response kinase A","2","2","1","126","112","","","","938","986","962","A_04553","K_02734"
"group_62","","hypothetical protein","2","2","1","92","3","","","","350","350","350","A_01319","K_01888"
"group_620","","hypothetical protein","2","2","1","126","114","","","","1430","1430","1430","A_04555","K_02736"
"group_621","","hypothetical protein","2","2","1","126","116","","","","185","185","185","A_04557","K_02738"
"phnR","","Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons","2","2","1","126","128","","","","710","710","710","A_04567","K_02456"
"yahB_3","","putative HTH-type transcriptional regulator YahB","2","2","1","131","312","","","","929","950","939","A_04600","K_00260"
"hisI","","Phosphoribosyl-AMP cyclohydrolase","2","2","1","131","302","","","","608","611","609","A_04611","K_00251"
"group_64","","hypothetical protein","2","2","1","98","6","","","","857","857","857","A_01331","K_02474"
"amyE","","Alpha-amylase","2","2","1","134","8","","","","851","2252","1551","A_01513","K_01840"
"flhA_1","","Flagellar biosynthesis protein FlhA","2","2","1","131","154","","","","620","2078","1349","A_01633","K_00169"
"group_7","","putative FAD-linked oxidoreductase","2","2","1","134","129","","","","1424","1454","1439","A_00396","K_03647"
"cheA","","Chemotaxis protein CheA","2","2","1","131","164","","","","1256","1964","1610","A_01643","K_00178"
"group_75","","hypothetical protein","2","2","1","88","4","","","","356","563","459","A_02043","K_00045"
"group_8","","hypothetical protein","2","2","1","135","768","","","","461","518","489","A_01892","K_04143"
"group_80","","hypothetical protein","2","2","1","119","85","","","","491","887","689","A_02504","K_02277"
"por_2","","Polyol:NADP oxidoreductase","2","2","1","122","16","","","","590","1460","1025","A_02583","K_02284"
"group_88","","hypothetical protein","2","2","1","134","204","","","","434","698","566","A_02659","K_02997"
"ulaG","","putative L-ascorbate-6-phosphate lactonase UlaG","2","2","1","134","194","","","","176","1064","620","A_02669","K_03007"
"sdiA","","Regulatory protein SdiA","2","2","1","131","186","","","","722","731","726","A_03721","K_00204"
"ulaD","","3-keto-L-gulonate-6-phosphate decarboxylase UlaD","2","2","1","134","190","","","","215","650","432","A_02675","K_03011"
"papC_3","","Outer membrane usher protein PapC","2","2","1","135","1172","","","","1142","2411","1776","A_02756","K_04705"
"era_2","","GTPase Era","2","2","1","108","35","","","","593","872","732","A_03864","K_01448"
"bcsC_1","","Cellulose synthase operon protein C","2","2","1","109","14","","","","2234","3473","2853","A_02778","K_03331"
"group_1","","hypothetical protein","1","1","1","89","1","509","4","","632","632","632","","K_01829"
"group_1000","","hypothetical protein","1","1","1","124","72","140","1","","218","218","218","A_01958",""
"group_1001","","hypothetical protein","1","1","1","124","1","434","1","","1325","1325","1325","A_01990",""
"group_1002","","hypothetical protein","1","1","1","124","43","434","2","","1469","1469","1469","A_01991",""
"group_1003","","hypothetical protein","1","1","1","124","44","434","3","","554","554","554","A_01992",""
"repE_1","","Replication initiation protein","1","1","1","11","1","411","1","Investigate","344","344","344","A_02033",""
"group_1005","","hypothetical protein","1","1","1","18","1","350","1","Investigate","326","326","326","A_02034",""
"group_1006","","hypothetical protein","1","1","1","28","2","318","2","Investigate","467","467","467","A_02035",""
"group_1007","","hypothetical protein","1","1","1","28","1","318","1","Investigate","569","569","569","A_02036",""
"group_1008","","hypothetical protein","1","1","1","16","2","384","1","Investigate","251","251","251","A_02040",""
"group_1009","","hypothetical protein","1","1","1","16","1","384","2","Investigate","374","374","374","A_02041",""
"group_101","","hypothetical protein","1","1","1","135","3","333","1","","629","629","629","A_03103",""
"group_1010","","hypothetical protein","1","1","1","88","1","","","","500","500","500","A_02046",""
"gspB","","Putative general secretion pathway protein B","1","1","1","121","11","623","16","","419","419","419","A_02090",""
"group_1012","gspA_1","Putative general secretion pathway protein A","1","1","1","121","10","623","17","","1469","1469","1469","A_02091",""
"gspC","","Putative type II secretion system protein C","1","1","1","121","9","623","15","","578","578","578","A_02092",""
"gspD","","Putative type II secretion system protein D","1","1","1","121","8","623","14","","1952","1952","1952","A_02093",""
"gspE","","Putative type II secretion system protein E","1","1","1","121","7","623","13","","1481","1481","1481","A_02094",""
"gspF","","Putative type II secretion system protein F","1","1","1","121","6","623","12","","1196","1196","1196","A_02095",""
"gspG","","Putative type II secretion system protein G","1","1","1","121","5","623","11","","437","437","437","A_02096",""
"gspH","","Putative type II secretion system protein H","1","1","1","121","4","623","10","","509","509","509","A_02097",""
"gspI","","Putative type II secretion system protein I","1","1","1","121","3","623","9","","377","377","377","A_02098",""
"gspJ","","Putative type II secretion system protein J","1","1","1","121","2","623","8","","587","587","587","A_02099",""
"gspK","","Putative type II secretion system protein K","1","1","1","121","1","623","7","","983","983","983","A_02100",""
"gspL","","Putative type II secretion system protein L","1","1","1","121","63","623","6","","1163","1163","1163","A_02101",""
"gspM","","Putative type II secretion system protein M","1","1","1","121","64","623","5","","461","461","461","A_02102",""
"gspO","","Type 4 prepilin-like proteins leader peptide-processing enzyme","1","1","1","121","62","623","4","","677","677","677","A_02103",""
"bfr","","Bacterioferritin","1","1","1","121","61","623","3","","476","476","476","A_02104",""
"group_1026","bfd","Bacterioferritin-associated ferredoxin","1","1","1","121","60","623","2","","194","194","194","A_02105",""
"chiA","","putative bifunctional chitinase/lysozyme","1","1","1","121","59","623","1","","2693","2693","2693","A_02106",""
"group_1028","","hypothetical protein","1","1","1","132","18","82","1","","194","194","194","A_02111",""
"group_1029","","hypothetical protein","1","1","1","132","289","195","1","","812","812","812","A_02170",""
"fhuA","","Ferrichrome-iron receptor","1","1","1","132","1","20","1","","2195","2195","2195","A_02184",""
"folK","","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase","1","1","1","132","268","","","","479","479","479","A_02192",""
"aaxC","","Arginine/agmatine antiporter","1","1","1","47","1","286","1","Investigate","362","362","362","A_02193",""
"group_1033","","hypothetical protein","1","1","1","114","4","369","2","","461","461","461","A_02195",""
"group_1034","","hypothetical protein","1","1","1","114","20","621","11","","350","350","350","A_02197",""
"group_1035","","hypothetical protein","1","1","1","114","19","621","12","","320","320","320","A_02198",""
"group_1036","","hypothetical protein","1","1","1","114","18","621","13","","1757","1757","1757","A_02199",""
"group_1037","","hypothetical protein","1","1","1","114","17","621","14","","1226","1226","1226","A_02200",""
"group_1038","","hypothetical protein","1","1","1","114","16","621","15","","599","599","599","A_02201",""
"group_1039","","hypothetical protein","1","1","1","114","15","621","16","","1217","1217","1217","A_02202",""
"ydiV_2","","Putative anti-FlhC(2)FlhD(4) factor YdiV","1","1","1","129","2","65","1","","446","446","446","A_03238",""
"group_1040","","hypothetical protein","1","1","1","114","14","621","10","","317","317","317","A_02203",""
"group_1041","","hypothetical protein","1","1","1","114","13","621","9","","338","338","338","A_02204",""
"group_1042","","hypothetical protein","1","1","1","114","12","621","8","","446","446","446","A_02205",""
"group_1043","","hypothetical protein","1","1","1","114","11","621","7","","344","344","344","A_02206",""
"group_1044","","hypothetical protein","1","1","1","114","10","621","6","","755","755","755","A_02207",""
"group_1045","","hypothetical protein","1","1","1","114","9","621","5","","371","371","371","A_02208",""
"group_1046","","hypothetical protein","1","1","1","114","8","621","4","","278","278","278","A_02209",""
"group_1047","","hypothetical protein","1","1","1","114","7","621","3","","3227","3227","3227","A_02210",""
"group_1048","","hypothetical protein","1","1","1","114","6","621","2","","341","341","341","A_02211",""
"group_1049","","hypothetical protein","1","1","1","135","198","348","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","104","104","104","A_02224",""
"hokB","","Toxin HokB","1","1","1","135","199","348","2","","149","149","149","A_02225",""
"group_1051","","hypothetical protein","1","1","1","123","3","17","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","131","131","131","A_02235",""
"yafQ","","mRNA interferase YafQ","1","1","1","123","12","311","2","","278","278","278","A_02242",""
"dinJ","","Antitoxin DinJ","1","1","1","123","13","311","1","","260","260","260","A_02243",""
"group_1054","rayT","REP-associated tyrosine transposase","1","1","1","123","15","78","1","","497","497","497","A_02245",""
"group_1055","yafP","putative N-acetyltransferase YafP","1","1","1","123","72","96","1","","374","374","374","A_02251",""
"intS_2","","Putative prophage CPS-53 integrase","1","1","1","123","50","635","1","","1214","1214","1214","A_02261",""
"group_1057","","hypothetical protein","1","1","1","123","49","635","2","","203","203","203","A_02262",""
"group_1058","","hypothetical protein","1","1","1","123","48","635","3","","431","431","431","A_02263",""
"group_1059","","hypothetical protein","1","1","1","123","47","635","4","","833","833","833","A_02264",""
"mkaC","","Virulence genes transcriptional activator","1","1","1","134","813","113","1","","554","554","554","A_03398",""
"group_1060","","hypothetical protein","1","1","1","123","46","635","5","","182","182","182","A_02265",""
"group_1061","","hypothetical protein","1","1","1","123","45","635","26","","1067","1067","1067","A_02266",""
"group_1062","","hypothetical protein","1","1","1","123","44","635","25","","194","194","194","A_02267",""
"group_1063","","hypothetical protein","1","1","1","123","43","635","24","","263","263","263","A_02268",""
"group_1064","","hypothetical protein","1","1","1","123","42","635","23","","221","221","221","A_02269",""
"group_1065","","hypothetical protein","1","1","1","123","41","635","22","","602","602","602","A_02270",""
"group_1066","","hypothetical protein","1","1","1","123","40","635","21","","341","341","341","A_02271",""
"group_1067","","hypothetical protein","1","1","1","123","39","635","20","","371","371","371","A_02272",""
"traC_1","","DNA primase TraC","1","1","1","123","38","635","19","","2756","2756","2756","A_02273",""
"group_1069","","hypothetical protein","1","1","1","123","37","635","18","","161","161","161","A_02274",""
"group_1070","","hypothetical protein","1","1","1","123","36","635","17","","461","461","461","A_02275",""
"group_1071","","hypothetical protein","1","1","1","123","35","635","16","","677","677","677","A_02276",""
"group_1072","","hypothetical protein","1","1","1","123","34","635","15","","1421","1421","1421","A_02277",""
"group_1073","","hypothetical protein","1","1","1","123","33","635","14","","2105","2105","2105","A_02278",""
"group_1074","","hypothetical protein","1","1","1","123","32","635","13","","437","437","437","A_02279",""
"group_1075","","hypothetical protein","1","1","1","123","31","635","12","","101","101","101","A_02280",""
"group_1076","","hypothetical protein","1","1","1","123","30","635","11","","185","185","185","A_02281",""
"group_1077","","hypothetical protein","1","1","1","123","29","635","10","","191","191","191","A_02282",""
"group_1078","","hypothetical protein","1","1","1","123","28","635","9","","281","281","281","A_02283",""
"group_1079","","hypothetical protein","1","1","1","123","27","635","8","","542","542","542","A_02284",""
"crfC_2","","Clamp-binding protein CrfC","1","1","1","134","636","","","","641","641","641","A_04549",""
"group_1080","","hypothetical protein","1","1","1","123","26","635","7","","359","359","359","A_02285",""
"group_1081","","hypothetical protein","1","1","1","123","25","635","6","","596","596","596","A_02286",""
"group_1082","","hypothetical protein","1","1","1","8","1","375","1","Investigate","1109","1109","1109","A_02289",""
"group_1083","","hypothetical protein","1","1","1","42","2","413","2","Investigate","1160","1160","1160","A_02290",""
"group_1084","","hypothetical protein","1","1","1","42","1","413","1","Investigate","677","677","677","A_02291",""
"group_1085","","hypothetical protein","1","1","1","135","128","442","3","","491","491","491","A_02292",""
"group_1086","","hypothetical protein","1","1","1","135","129","442","2","","197","197","197","A_02293",""
"group_1087","","hypothetical protein","1","1","1","135","130","442","1","","842","842","842","A_02294",""
"group_1088","","hypothetical protein","1","1","1","135","414","184","1","","311","311","311","A_02307",""
"group_1089","","hypothetical protein","1","1","1","135","331","422","1","","1118","1118","1118","A_02384",""
"group_1090","","hypothetical protein","1","1","1","135","330","422","2","","269","269","269","A_02385",""
"group_1091","","hypothetical protein","1","1","1","114","44","","","","548","548","548","A_02389",""
"bglG","","Cryptic beta-glucoside bgl operon antiterminator","1","1","1","134","502","600","1","","836","836","836","A_02429",""
"bglF_2","","PTS system beta-glucoside-specific EIIBCA component","1","1","1","134","501","600","2","","1877","1877","1877","A_02430",""
"bglB","","6-phospho-beta-glucosidase BglB","1","1","1","134","546","600","3","","1412","1412","1412","A_02431",""
"bglH_2","","Cryptic outer membrane porin BglH","1","1","1","134","547","600","4","","1616","1616","1616","A_02432",""
"axe1-6A","","Carbohydrate acetyl esterase/feruloyl esterase","1","1","1","134","548","600","5","","1169","1169","1169","A_02433",""
"nagB_1","","Glucosamine-6-phosphate deaminase","1","1","1","134","549","600","6","","722","722","722","A_02434",""
"group_1098","","hypothetical protein","1","1","1","134","550","600","7","","587","587","587","A_02435",""
"cbrB","","Inner membrane protein CbrB","1","1","1","134","551","600","8","","473","473","473","A_02436",""
"group_11","","hypothetical protein","1","1","1","23","1","409","1","Investigate","518","518","518","","K_02890"
"yedQ_3","","putative diguanylate cyclase YedQ","1","1","1","131","37","32","1","","341","341","341","A_03760",""
"yieH","","6-phosphogluconate phosphatase","1","1","1","134","552","600","9","","665","665","665","A_02437",""
"group_1101","","hypothetical protein","1","1","1","134","570","19","1","","656","656","656","A_02455",""
"group_1102","","hypothetical protein","1","1","1","106","1","587","3","","617","617","617","A_02470",""
"group_1103","","hypothetical protein","1","1","1","106","2","587","4","","167","167","167","A_02471",""
"group_1104","","hypothetical protein","1","1","1","106","5","587","7","","290","290","290","A_02474",""
"group_1105","","hypothetical protein","1","1","1","106","6","587","8","","899","899","899","A_02475",""
"group_1106","","hypothetical protein","1","1","1","106","7","587","2","","2225","2225","2225","A_02476",""
"pifC","","Transcriptional repressor PifC","1","1","1","106","8","587","1","","1088","1088","1088","A_02477",""
"group_1108","","hypothetical protein","1","1","1","106","30","592","4","","506","506","506","A_02484",""
"group_1109","","hypothetical protein","1","1","1","106","29","592","5","","437","437","437","A_02485",""
"yhdJ_1","","DNA adenine methyltransferase YhdJ","1","1","1","106","28","592","6","","683","683","683","A_02486",""
"group_1111","","hypothetical protein","1","1","1","106","27","592","7","","221","221","221","A_02487",""
"group_1112","","hypothetical protein","1","1","1","106","26","592","8","","434","434","434","A_02488",""
"group_1113","","hypothetical protein","1","1","1","106","25","592","3","","776","776","776","A_02489",""
"group_1114","","hypothetical protein","1","1","1","119","4","554","4","","203","203","203","A_02498",""
"group_1115","","hypothetical protein","1","1","1","119","90","554","5","","218","218","218","A_02499",""
"group_1116","","hypothetical protein","1","1","1","119","89","554","6","","200","200","200","A_02500",""
"group_1117","","hypothetical protein","1","1","1","119","19","591","1","","356","356","356","A_02506",""
"group_1118","","hypothetical protein","1","1","1","119","18","591","2","","182","182","182","A_02507",""
"group_1119","","hypothetical protein","1","1","1","119","17","591","3","","176","176","176","A_02508",""
"group_112","","Invasin","1","1","1","131","258","294","1","","6176","6176","6176","","K_00303"
"group_1120","","hypothetical protein","1","1","1","119","16","591","4","","179","179","179","A_02509",""
"group_1121","","hypothetical protein","1","1","1","119","15","591","8","","212","212","212","A_02510",""
"group_1122","","hypothetical protein","1","1","1","119","14","591","7","","1058","1058","1058","A_02511",""
"rusA_2","","Crossover junction endodeoxyribonuclease RusA","1","1","1","119","13","591","6","","380","380","380","A_02512",""
"dnaJ_1","","Chaperone protein DnaJ","1","1","1","119","12","591","5","","821","821","821","A_02513",""
"group_1125","","hypothetical protein","1","1","1","119","34","532","2","","200","200","200","A_02518",""
"group_1126","","hypothetical protein","1","1","1","119","35","532","1","","365","365","365","A_02519",""
"group_1127","","hypothetical protein","1","1","1","119","74","457","1","","959","959","959","A_02527",""
"gadW_1","","HTH-type transcriptional regulator GadW","1","1","1","119","73","457","3","","713","713","713","A_02528",""
"group_1129","","hypothetical protein","1","1","1","119","72","457","2","","215","215","215","A_02529",""
"group_1130","","hypothetical protein","1","1","1","122","48","483","2","","2372","2372","2372","A_02531",""
"yddA","","Inner membrane ABC transporter ATP-binding protein YddA","1","1","1","122","49","483","3","","1685","1685","1685","A_02532",""
"group_1132","","hypothetical protein","1","1","1","122","50","483","4","","1157","1157","1157","A_02533",""
"safA","","Two-component-system connector protein SafA","1","1","1","122","53","94","1","","197","197","197","A_02536",""
"group_1134","","hypothetical protein","1","1","1","122","4","569","1","","218","218","218","A_02566",""
"bglA_1","","Aryl-phospho-beta-D-glucosidase BglA","1","1","1","122","3","569","2","","1439","1439","1439","A_02567",""
"bglH_3","","Cryptic outer membrane porin BglH","1","1","1","122","2","569","7","","1385","1385","1385","A_02568",""
"chbA_1","","N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIA component","1","1","1","122","1","569","6","","311","311","311","A_02569",""
